個案研判日,縣市別,區域,新增確診人數,累計確診人數
2023-03-14,南投縣,全區,169,164722
2023-03-14,台中市,全區,1172,1247388
2023-03-14,台北市,全區,932,1009003
2023-03-14,台南市,全區,789,730722
2023-03-14,台東縣,全區,67,80195
2023-03-14,嘉義市,全區,111,97911
2023-03-14,嘉義縣,全區,187,152637
2023-03-14,基隆市,全區,239,182784
2023-03-14,境外移入,全區,169,57634
2023-03-14,宜蘭縣,全區,206,197930
2023-03-14,屏東縣,全區,306,280185
2023-03-14,彰化縣,全區,369,479325
2023-03-14,新北市,全區,2037,2099060
2023-03-14,新竹市,全區,301,228606
2023-03-14,新竹縣,全區,321,284453
2023-03-14,桃園市,全區,1037,1118155
2023-03-14,澎湖縣,全區,22,28034
2023-03-14,花蓮縣,全區,144,147649
2023-03-14,苗栗縣,全區,274,229885
2023-03-14,連江縣,全區,2,4059
2023-03-14,金門縣,全區,36,26904
2023-03-14,雲林縣,全區,186,208532
2023-03-14,高雄市,全區,1111,1141455
2023-03-13,南投縣,全區,184,164553
2023-03-13,台中市,全區,1185,1246216
2023-03-13,台北市,全區,898,1008071
2023-03-13,台南市,全區,849,729933
2023-03-13,台東縣,全區,90,80128
2023-03-13,嘉義市,全區,137,97800
2023-03-13,嘉義縣,全區,166,152450
2023-03-13,基隆市,全區,140,182545
2023-03-13,境外移入,全區,168,57465
2023-03-13,宜蘭縣,全區,239,197724
2023-03-13,屏東縣,全區,274,279879
2023-03-13,彰化縣,全區,406,478956
2023-03-13,新北市,全區,1944,2097023
2023-03-13,新竹市,全區,240,228305
2023-03-13,新竹縣,全區,302,284132
2023-03-13,桃園市,全區,913,1117118
2023-03-13,澎湖縣,全區,20,28012
2023-03-13,花蓮縣,全區,138,147505
2023-03-13,苗栗縣,全區,294,229611
2023-03-13,連江縣,全區,3,4057
2023-03-13,金門縣,全區,43,26868
2023-03-13,雲林縣,全區,247,208346
2023-03-13,高雄市,全區,1203,1140344
2023-03-12,南投縣,全區,103,164369
2023-03-12,台中市,全區,832,1245031
2023-03-12,台北市,全區,596,1007173
2023-03-12,台南市,全區,478,729084
2023-03-12,台東縣,全區,37,80038
2023-03-12,嘉義市,全區,62,97663
2023-03-12,嘉義縣,全區,81,152284
2023-03-12,基隆市,全區,105,182405
2023-03-12,境外移入,全區,101,57297
2023-03-12,宜蘭縣,全區,119,197485
2023-03-12,屏東縣,全區,177,279605
2023-03-12,彰化縣,全區,301,478550
2023-03-12,新北市,全區,1222,2095079
2023-03-12,新竹市,全區,148,228065
2023-03-12,新竹縣,全區,232,283830
2023-03-12,桃園市,全區,753,1116205
2023-03-12,澎湖縣,全區,25,27992
2023-03-12,花蓮縣,全區,89,147367
2023-03-12,苗栗縣,全區,199,229317
2023-03-12,金門縣,全區,37,26825
2023-03-12,雲林縣,全區,113,208099
2023-03-12,高雄市,全區,764,1139141
2023-03-11,南投縣,全區,138,164266
2023-03-11,台中市,全區,1095,1244199
2023-03-11,台北市,全區,784,1006577
2023-03-11,台南市,全區,729,728606
2023-03-11,台東縣,全區,67,80001
2023-03-11,嘉義市,全區,107,97601
2023-03-11,嘉義縣,全區,141,152203
2023-03-11,基隆市,全區,167,182300
2023-03-11,境外移入,全區,173,57196
2023-03-11,宜蘭縣,全區,187,197366
2023-03-11,屏東縣,全區,229,279428
2023-03-11,彰化縣,全區,375,478249
2023-03-11,新北市,全區,1750,2093857
2023-03-11,新竹市,全區,229,227917
2023-03-11,新竹縣,全區,238,283598
2023-03-11,桃園市,全區,1042,1115452
2023-03-11,澎湖縣,全區,15,27967
2023-03-11,花蓮縣,全區,126,147278
2023-03-11,苗栗縣,全區,217,229118
2023-03-11,金門縣,全區,24,26788
2023-03-11,雲林縣,全區,173,207986
2023-03-11,高雄市,全區,1083,1138377
2023-03-10,南投縣,全區,147,164128
2023-03-10,台中市,全區,1060,1243104
2023-03-10,台北市,全區,753,1005793
2023-03-10,台南市,全區,786,727877
2023-03-10,台東縣,全區,52,79934
2023-03-10,嘉義市,全區,69,97494
2023-03-10,嘉義縣,全區,119,152062
2023-03-10,基隆市,全區,176,182133
2023-03-10,境外移入,全區,125,57023
2023-03-10,宜蘭縣,全區,227,197179
2023-03-10,屏東縣,全區,217,279199
2023-03-10,彰化縣,全區,335,477874
2023-03-10,新北市,全區,1603,2092107
2023-03-10,新竹市,全區,209,227688
2023-03-10,新竹縣,全區,236,283360
2023-03-10,桃園市,全區,996,1114410
2023-03-10,澎湖縣,全區,15,27952
2023-03-10,花蓮縣,全區,125,147152
2023-03-10,苗栗縣,全區,187,228901
2023-03-10,金門縣,全區,37,26764
2023-03-10,雲林縣,全區,146,207813
2023-03-10,高雄市,全區,999,1137294
2023-03-09,南投縣,全區,127,163981
2023-03-09,台中市,全區,1090,1242044
2023-03-09,台北市,全區,775,1005040
2023-03-09,台南市,全區,797,727091
2023-03-09,台東縣,全區,72,79882
2023-03-09,嘉義市,全區,97,97425
2023-03-09,嘉義縣,全區,133,151943
2023-03-09,基隆市,全區,121,181957
2023-03-09,境外移入,全區,136,56898
2023-03-09,宜蘭縣,全區,216,196952
2023-03-09,屏東縣,全區,236,278982
2023-03-09,彰化縣,全區,367,477539
2023-03-09,新北市,全區,1704,2090504
2023-03-09,新竹市,全區,223,227479
2023-03-09,新竹縣,全區,270,283124
2023-03-09,桃園市,全區,1006,1113414
2023-03-09,澎湖縣,全區,24,27937
2023-03-09,花蓮縣,全區,122,147027
2023-03-09,苗栗縣,全區,200,228714
2023-03-09,連江縣,全區,3,4054
2023-03-09,金門縣,全區,36,26727
2023-03-09,雲林縣,全區,176,207667
2023-03-09,高雄市,全區,1162,1136295
2023-03-08,南投縣,全區,146,163854
2023-03-08,台中市,全區,1163,1240954
2023-03-08,台北市,全區,792,1004265
2023-03-08,台南市,全區,864,726294
2023-03-08,台東縣,全區,68,79810
2023-03-08,嘉義市,全區,104,97328
2023-03-08,嘉義縣,全區,131,151810
2023-03-08,基隆市,全區,178,181836
2023-03-08,境外移入,全區,136,56762
2023-03-08,宜蘭縣,全區,254,196736
2023-03-08,屏東縣,全區,251,278746
2023-03-08,彰化縣,全區,358,477172
2023-03-08,新北市,全區,1744,2088800
2023-03-08,新竹市,全區,223,227256
2023-03-08,新竹縣,全區,287,282854
2023-03-08,桃園市,全區,1107,1112408
2023-03-08,澎湖縣,全區,19,27913
2023-03-08,花蓮縣,全區,119,146905
2023-03-08,苗栗縣,全區,220,228514
2023-03-08,金門縣,全區,39,26691
2023-03-08,雲林縣,全區,210,207491
2023-03-08,高雄市,全區,1168,1135133
2023-03-07,南投縣,全區,195,163708
2023-03-07,台中市,全區,1273,1239791
2023-03-07,台北市,全區,962,1003473
2023-03-07,台南市,全區,996,725430
2023-03-07,台東縣,全區,70,79742
2023-03-07,嘉義市,全區,105,97224
2023-03-07,嘉義縣,全區,177,151679
2023-03-07,基隆市,全區,190,181658
2023-03-07,境外移入,全區,145,56626
2023-03-07,宜蘭縣,全區,288,196482
2023-03-07,屏東縣,全區,298,278495
